region_id,product_id,amount,primary_rate,pricelist_id
10,Gas Supply,27,3.68,EoN(2014-02-13) Gas Aq 1yr
11,Gas Supply,27,3.6,EoN(2014-02-13) Gas Aq 1yr
12,Gas Supply,27,3.77,EoN(2014-02-13) Gas Aq 1yr
13,Gas Supply,27,3.66,EoN(2014-02-13) Gas Aq 1yr
14,Gas Supply,27,3.69,EoN(2014-02-13) Gas Aq 1yr
15,Gas Supply,27,3.62,EoN(2014-02-13) Gas Aq 1yr
16,Gas Supply,27,3.65,EoN(2014-02-13) Gas Aq 1yr
17,Gas Supply,27,3.57,EoN(2014-02-13) Gas Aq 1yr
18,Gas Supply,27,3.57,EoN(2014-02-13) Gas Aq 1yr
19,Gas Supply,27,3.75,EoN(2014-02-13) Gas Aq 1yr
20,Gas Supply,27,3.84,EoN(2014-02-13) Gas Aq 1yr
21,Gas Supply,27,3.64,EoN(2014-02-13) Gas Aq 1yr
22,Gas Supply,27,3.8,EoN(2014-02-13) Gas Aq 1yr
23,Gas Supply,27,3.56,EoN(2014-02-13) Gas Aq 1yr
